CustomerID,purchase_value,no_of_transaction,recent_transaction
14180.0,201.75,12,2
14210.0,304.95000000000005,15,1
14236.0,189.3,3,2
14237.0,161.0,9,2
14307.0,783.11,48,2
14388.0,312.8,21,2
14390.0,223.7,27,2
14395.0,308.68,27,2
14396.0,110.35000000000001,34,1
14449.0,210.24,50,2
14466.0,379.75,10,2
14491.0,127.2,4,2
14496.0,304.34000000000003,5,2
14573.0,413.1,76,2
14576.0,35.400000000000006,1,2
14589.0,39.75,3,1
14594.0,255.0,31,2
14606.0,198.32,40,2
14680.0,1680.88,14,1
14688.0,444.98,19,2
14696.0,294.62,18,2
14723.0,250.94,43,1
14729.0,313.49,71,2
14741.0,184.5,9,2
14775.0,406.56,20,2
14800.0,555.84,51,1
14810.0,180.44,23,1
14813.0,155.43,30,1
14829.0,236.97,19,2
14849.0,355.84000000000003,17,2
14865.0,37.2,3,2
14898.0,98.5,3,1
14901.0,204.15,18,2
14911.0,2283.53,93,1
15012.0,191.06,54,2
15038.0,126.42999999999999,35,1
15061.0,9407.34,73,2
15070.0,106.2,1,2
15093.0,623.73,16,2
15100.0,350.4,1,2
15107.0,116.0,5,2
15111.0,288.5,16,2
15165.0,487.75,27,2
15235.0,79.5,5,2
15260.0,420.5,17,2
15291.0,328.8,2,2
15299.0,1835.01,3,2
15311.0,449.98,35,2
15332.0,1598.06,34,1
15350.0,115.65,5,2
15351.0,274.67,51,1
15363.0,326.0,16,2
15373.0,334.3,11,1
15465.0,535.75,7,1
15485.0,950.09,23,2
15513.0,357.0,3,2
15525.0,313.93,57,2
15544.0,354.54,26,2
15545.0,135.32999999999998,31,1
15574.0,375.65,121,2
15601.0,768.38,48,2
15605.0,194.85000000000002,12,2
15640.0,333.72,7,2
15646.0,189.8,17,2
15658.0,306.2,14,2
15694.0,306.4,6,2
15708.0,350.68,42,1
15716.0,547.1,38,1
15732.0,138.1,5,2
15738.0,329.65000000000003,14,2
15752.0,259.65000000000003,14,2
15769.0,91.8,1,1
15823.0,15.0,1,2
15827.0,190.93,14,2
15862.0,354.23,64,2
15922.0,369.5,11,2
15923.0,127.08,21,2
15955.0,572.38,20,2
15983.0,440.89,32,2
16013.0,1062.0,3,1
16029.0,4271.5199999999995,12,2
16033.0,155.64000000000001,26,1
16048.0,256.44,8,2
16098.0,430.6,12,2
16140.0,124.14,7,1
16150.0,393.42,22,2
16168.0,275.8,3,1
16186.0,307.68,20,2
16203.0,170.7,11,2
16210.0,2474.7400000000002,14,2
16218.0,471.3,28,2
16241.0,277.65000000000003,14,1
16244.0,1056.63,63,2
16250.0,226.14,14,2
16274.0,357.95,67,2
16353.0,204.0,1,1
16455.0,381.3,19,1
16456.0,787.4,16,2
16477.0,225.65,14,1
16510.0,248.1,13,2
16539.0,442.34999999999997,21,2
16546.0,299.40000000000003,6,2
16552.0,95.29,5,2
16583.0,233.45,14,2
16634.0,164.8,8,2
16725.0,122.15,25,1
16752.0,207.5,9,2
16754.0,2002.4,2,2
16770.0,130.8,6,2
16781.0,311.25,17,2
16814.0,273.29,15,1
16835.0,81.75,5,2
16839.0,552.24,5,1
16883.0,128.03,17,1
16891.0,232.26,69,1
16905.0,254.39999999999998,10,1
16916.0,198.08,50,2
16926.0,230.25,14,1
16928.0,116.25,6,2
16931.0,152.05,41,1
16955.0,156.1,6,2
16983.0,163.49,9,1
17017.0,877.3199999999999,23,2
17025.0,160.97,5,2
17059.0,722.36,117,1
17062.0,179.64000000000001,26,1
17069.0,277.05,11,2
17135.0,215.57999999999998,9,1
17181.0,155.52,2,2
17198.0,272.01,53,1
17228.0,183.3,18,2
17235.0,341.9,10,2
17238.0,370.09000000000003,60,1
17243.0,256.90000000000003,11,1
17287.0,113.92,13,2
17346.0,146.61,35,2
17377.0,223.9,15,2
17381.0,1036.08,6,2
17396.0,397.5,3,1
17412.0,197.3,8,2
17420.0,130.85,7,2
17460.0,70.30000000000001,2,2
17511.0,1825.74,24,2
17552.0,298.52,13,2
17567.0,517.95,27,2
17572.0,70.80000000000001,4,2
17581.0,786.78,38,2
17643.0,101.55,8,2
17659.0,247.8,12,2
17685.0,452.52,12,2
17690.0,376.8,14,2
17732.0,303.97,18,2
17757.0,143.45000000000002,23,2
17760.0,172.54,9,2
17787.0,736.28,31,1
17796.0,114.65,19,1
17802.0,100.2,12,2
17809.0,1251.5,15,1
17819.0,591.47,12,1
17838.0,717.1600000000001,31,2
17841.0,876.92,94,1
17850.0,5391.21,297,2
17855.0,208.97,17,2
17873.0,215.14999999999998,9,2
17884.0,187.51,28,1
17897.0,165.89,35,2
17905.0,201.75,23,2
17908.0,243.28,58,2
17920.0,514.41,81,2
17924.0,279.0,2,2
17925.0,244.08,1,2
17949.0,1314.0,1,1
17951.0,295.5,5,2
17954.0,108.78,14,1
17961.0,127.55,29,2
17964.0,261.76,35,2
17967.0,123.07,48,1
17968.0,277.35,85,2
17976.0,353.19,65,2
18011.0,102.78999999999999,28,2
18041.0,428.94,81,2
18055.0,431.45,19,1
18074.0,489.6,13,2
18085.0,303.9,9,2
18109.0,277.45,14,1
18118.0,475.86,118,1
18144.0,165.04999999999998,3,2
18156.0,206.23000000000002,55,1
18168.0,263.3,27,2
18229.0,344.2,7,2
18239.0,438.1,29,2
